FullDate,Year,Month,Day,DayOfWeek,DayType
1900-01-01,,,,NULL_DATE,UNKNOWN
2023-04-01,2023,4,1,Saturday,Weekend
2023-04-02,2023,4,2,Sunday,Weekend
2023-04-03,2023,4,3,Monday,Weekday
2023-04-04,2023,4,4,Tuesday,Weekday
2023-04-05,2023,4,5,Wednesday,Weekday
2023-04-06,2023,4,6,Thursday,Weekday
2023-04-07,2023,4,7,Friday,Weekday
2023-04-08,2023,4,8,Saturday,Weekend
2023-04-09,2023,4,9,Sunday,Weekend
2023-04-10,2023,4,10,Monday,Weekday
2023-04-11,2023,4,11,Tuesday,Weekday
2023-04-12,2023,4,12,Wednesday,Weekday
2023-04-13,2023,4,13,Thursday,Weekday
2023-04-14,2023,4,14,Friday,Weekday
2023-04-15,2023,4,15,Saturday,Weekend
2023-04-16,2023,4,16,Sunday,Weekend
2023-04-17,2023,4,17,Monday,Weekday
2023-04-18,2023,4,18,Tuesday,Weekday
2023-04-19,2023,4,19,Wednesday,Weekday
2023-04-20,2023,4,20,Thursday,Weekday
2023-04-21,2023,4,21,Friday,Weekday
2023-04-22,2023,4,22,Saturday,Weekend
2023-04-23,2023,4,23,Sunday,Weekend
2023-04-24,2023,4,24,Monday,Weekday
2023-04-25,2023,4,25,Tuesday,Weekday
2023-04-26,2023,4,26,Wednesday,Weekday
2023-04-27,2023,4,27,Thursday,Weekday
2023-04-28,2023,4,28,Friday,Weekday
2023-04-29,2023,4,29,Saturday,Weekend
2023-04-30,2023,4,30,Sunday,Weekend
2023-05-01,2023,5,1,Monday,Weekday
2023-05-02,2023,5,2,Tuesday,Weekday
2023-05-03,2023,5,3,Wednesday,Weekday
2023-05-04,2023,5,4,Thursday,Weekday
2023-05-05,2023,5,5,Friday,Weekday
2023-05-06,2023,5,6,Saturday,Weekend
2023-05-07,2023,5,7,Sunday,Weekend
2023-05-08,2023,5,8,Monday,Weekday
2023-05-09,2023,5,9,Tuesday,Weekday
2023-05-10,2023,5,10,Wednesday,Weekday
2023-05-11,2023,5,11,Thursday,Weekday
2023-05-12,2023,5,12,Friday,Weekday
2023-05-13,2023,5,13,Saturday,Weekend
2023-05-14,2023,5,14,Sunday,Weekend
2023-05-15,2023,5,15,Monday,Weekday
2023-05-16,2023,5,16,Tuesday,Weekday
2023-05-17,2023,5,17,Wednesday,Weekday
2023-05-18,2023,5,18,Thursday,Weekday
2023-05-19,2023,5,19,Friday,Weekday
2023-05-20,2023,5,20,Saturday,Weekend
2023-05-21,2023,5,21,Sunday,Weekend
2023-05-22,2023,5,22,Monday,Weekday
2023-05-23,2023,5,23,Tuesday,Weekday
2023-05-24,2023,5,24,Wednesday,Weekday
2023-05-25,2023,5,25,Thursday,Weekday
2023-05-26,2023,5,26,Friday,Weekday
2023-05-27,2023,5,27,Saturday,Weekend
2023-05-28,2023,5,28,Sunday,Weekend
2023-05-29,2023,5,29,Monday,Weekday
2023-05-30,2023,5,30,Tuesday,Weekday
2023-05-31,2023,5,31,Wednesday,Weekday
2023-06-01,2023,6,1,Thursday,Weekday
2023-06-02,2023,6,2,Friday,Weekday
2023-06-03,2023,6,3,Saturday,Weekend
2023-06-04,2023,6,4,Sunday,Weekend
2023-06-05,2023,6,5,Monday,Weekday
2023-06-06,2023,6,6,Tuesday,Weekday
2023-06-07,2023,6,7,Wednesday,Weekday
2023-06-08,2023,6,8,Thursday,Weekday
2023-06-09,2023,6,9,Friday,Weekday
2023-06-10,2023,6,10,Saturday,Weekend
2023-06-11,2023,6,11,Sunday,Weekend
2023-06-12,2023,6,12,Monday,Weekday
2023-06-13,2023,6,13,Tuesday,Weekday
2023-06-14,2023,6,14,Wednesday,Weekday
2023-06-15,2023,6,15,Thursday,Weekday
2023-06-16,2023,6,16,Friday,Weekday
2023-06-17,2023,6,17,Saturday,Weekend
2023-06-18,2023,6,18,Sunday,Weekend
2023-06-19,2023,6,19,Monday,Weekday
2023-06-20,2023,6,20,Tuesday,Weekday
2023-06-21,2023,6,21,Wednesday,Weekday
2023-06-22,2023,6,22,Thursday,Weekday
2023-06-23,2023,6,23,Friday,Weekday
2023-06-24,2023,6,24,Saturday,Weekend
2023-06-25,2023,6,25,Sunday,Weekend
2023-06-26,2023,6,26,Monday,Weekday
2023-06-27,2023,6,27,Tuesday,Weekday
2023-06-28,2023,6,28,Wednesday,Weekday
2023-06-29,2023,6,29,Thursday,Weekday
2023-06-30,2023,6,30,Friday,Weekday
2023-07-01,2023,7,1,Saturday,Weekend
2023-07-02,2023,7,2,Sunday,Weekend
2023-07-03,2023,7,3,Monday,Weekday
2023-07-04,2023,7,4,Tuesday,Weekday
2023-07-05,2023,7,5,Wednesday,Weekday
2023-07-06,2023,7,6,Thursday,Weekday
2023-07-07,2023,7,7,Friday,Weekday
2023-07-08,2023,7,8,Saturday,Weekend
2023-07-09,2023,7,9,Sunday,Weekend
2023-07-10,2023,7,10,Monday,Weekday
2023-07-11,2023,7,11,Tuesday,Weekday
2023-07-12,2023,7,12,Wednesday,Weekday
2023-07-13,2023,7,13,Thursday,Weekday
2023-07-14,2023,7,14,Friday,Weekday
2023-07-15,2023,7,15,Saturday,Weekend
2023-07-16,2023,7,16,Sunday,Weekend
2023-07-17,2023,7,17,Monday,Weekday
2023-07-18,2023,7,18,Tuesday,Weekday
2023-07-19,2023,7,19,Wednesday,Weekday
2023-07-20,2023,7,20,Thursday,Weekday
2023-07-21,2023,7,21,Friday,Weekday
2023-07-22,2023,7,22,Saturday,Weekend
2023-07-23,2023,7,23,Sunday,Weekend
2023-07-24,2023,7,24,Monday,Weekday
2023-07-25,2023,7,25,Tuesday,Weekday
2023-07-26,2023,7,26,Wednesday,Weekday
2023-07-27,2023,7,27,Thursday,Weekday
2023-07-28,2023,7,28,Friday,Weekday
2023-07-29,2023,7,29,Saturday,Weekend
2023-07-30,2023,7,30,Sunday,Weekend
2023-07-31,2023,7,31,Monday,Weekday
2023-08-01,2023,8,1,Tuesday,Weekday
2023-08-02,2023,8,2,Wednesday,Weekday
2023-08-03,2023,8,3,Thursday,Weekday
2023-08-04,2023,8,4,Friday,Weekday
2023-08-05,2023,8,5,Saturday,Weekend
2023-08-06,2023,8,6,Sunday,Weekend
2023-08-07,2023,8,7,Monday,Weekday
2023-08-08,2023,8,8,Tuesday,Weekday
2023-08-09,2023,8,9,Wednesday,Weekday
2023-08-10,2023,8,10,Thursday,Weekday
2023-08-11,2023,8,11,Friday,Weekday
2023-08-12,2023,8,12,Saturday,Weekend
2023-08-13,2023,8,13,Sunday,Weekend
2023-08-14,2023,8,14,Monday,Weekday
2023-08-15,2023,8,15,Tuesday,Weekday
2023-08-16,2023,8,16,Wednesday,Weekday
2023-08-17,2023,8,17,Thursday,Weekday
2023-08-18,2023,8,18,Friday,Weekday
2023-08-19,2023,8,19,Saturday,Weekend
2023-08-20,2023,8,20,Sunday,Weekend
2023-08-21,2023,8,21,Monday,Weekday
2023-08-22,2023,8,22,Tuesday,Weekday
