DimHalteID,StopID,StopName,Latitude,Longitude,City
0,NULL_KEY,,,,
1,P00167,Pemuda Rawamangun,-6.193488,106.89165,Jakarta Timur
2,B04633P,Sekolah Islam PB Soedirman,-6.314293,106.86298,Jakarta Timur
3,B02192P,Mall Metropolitan,-6.247861,106.99215,
4,B03637P,Sbr. Jln. Angsana Kemanggisan,-6.194813,106.78213,Jakarta Barat
5,B04272P,Sbr. RPTRA Radar Pembangunan,-6.120126,106.89638,Jakarta Utara
6,P00090,Jembatan Dua,-6.143279,106.79352,Jakarta Barat
7,B00042P,Andara Margasatwa 1,-6.313471,106.80369,Jakarta Selatan
8,B05218P,Simpang Waru Tengah,-6.293301,106.85862,Jakarta Timur
9,B01327P,Jln. Lorong 5,-6.107716,106.8955,Jakarta Utara
10,B04369P,Sbr. SDN Rorotan 07,-6.146513,106.95644,Jakarta Utara
11,B01612P,Jln. Sunter Jaya VI,-6.160663,106.8727,Jakarta Utara
12,B01295P,Jln. KPBD,-6.223548,106.77843,Jakarta Barat
13,B05536P,STMT Trisakti 2,-6.231981,106.8777,Jakarta Timur
14,P00016,BKN,-6.257751,106.87,Jakarta Timur
15,B04330P,Sbr. SDN Cipedak 03,-6.349013,106.80931,Jakarta Selatan
16,B02068P,Komplek Uin,-6.308924,106.75601,
17,B04898P,Simpang Kampung Jembatan 2,-6.208426,106.93576,Jakarta Timur
18,P00136,Mayestik,-6.241921,106.79077,Jakarta Selatan
19,B04380P,Sbr. Sekolah Bethel,-6.196189,106.80484,Jakarta Barat
20,P00273,Warung Jati,-6.262364,106.82977,Jakarta Selatan
21,B03430P,SDN Sukasari Enam 1,-6.189785,106.6419,
22,B06583P,Sbr. Sekretariat Kelurahan Lagoa,-6.11791,106.90356,Jakarta Utara
23,B02933P,Ponpes Baitul Quran Al Ikhwan 2,-6.12889,106.96502,Jakarta Utara
24,P00188,Pramuka BPKP,-6.192192,106.87401,Jakarta Timur
25,P00062,Gambir 1,-6.174612,106.8304,Jakarta Pusat
26,B00234P,Cawang Soetoyo 1,-6.24544,106.87548,Jakarta Timur
27,B04648P,Sekolah PGRI Penggilingan,-6.216995,106.933775,Jakarta Timur
28,P00051,Dukuh Atas,-6.205702,106.82223,Jakarta Selatan
29,B05723P,Term. Rawamangun,-6.198002,106.89099,Jakarta Timur
30,B06727P,Ps. Cipete,-6.280261,106.807483,Jakarta Selatan
31,B04625P,Sekolah Cita Buana,-6.316189,106.81425,Jakarta Selatan
32,B00666P,GP Mall 2,-6.259474,107.01987,
33,B00485P,Gg. H. Yusuf Jati Pdang,-6.292902,106.8287,Jakarta Selatan
34,P00198,Puri Beta 2,-6.230532,106.72371,
35,B00229P,Carrefour Lebak Bulus,-6.287529,106.7768,Jakarta Selatan
36,B03405P,SDN Penggilingan,-6.205255,106.93004,Jakarta Timur
37,B00122P,Baywalk 2,-6.110359,106.77961,Jakarta Utara
38,B06787P,Gg. Warga Lubang Buaya,-6.287618,106.90573,Jakarta Timur
39,B05003P,Simpang Matraman 2,-6.201601,106.85144,Jakarta Timur
40,B00806P,IRTI,-6.1803,106.82618,Jakarta Pusat
41,P00070,Gelanggang Remaja,-6.235445,106.86795,Jakarta Timur
42,B05602P,Taman Jogging Kelapa Gading 3,-6.161135,106.90477,Jakarta Utara
43,P00089,Jembatan Besi,-6.152005,106.7949,Jakarta Barat
44,B06645P,Kantor Lurah Gandul,-6.34007,106.79381,
45,B06184P,Gg. H Sayuti I,-6.212751,106.92367,Jakarta Timur
46,B03295P,Rusun Tambora,-6.147327,106.798676,Jakarta Barat
47,B01042P,Jln. Duku Gg. Mantang,-6.112126,106.90832,Jakarta Utara
48,B05561P,Superindo Meruya Ilir,-6.197636,106.74562,Jakarta Barat
49,B01036P,Jln. Delima V,-6.175306,106.78362,Jakarta Barat
50,B06586P,Jln. Mahoni Koja,-6.11847,106.91334,Jakarta Utara
51,P00082,Istiqlal,-6.172252,106.83093,Jakarta Pusat
52,P00018,BNN Arah Barat,-6.24651,106.87318,Jakarta Timur
53,B03408P,SDN Pesanggrahan 10,-6.259714,106.75688,Jakarta Selatan
54,B00226P,Buperta Cibubur,-6.370321,106.89628,
55,B00733P,Halimun 1,-6.205233,106.8335,Jakarta Selatan
56,B00390P,Gambir 3,-6.178796,106.83095,Jakarta Pusat
57,B01505P,Jln. Plk II Cililitan Besar,-6.265021,106.87468,Jakarta Timur
58,P00209,RS Tarakan,-6.171146,106.81011,Jakarta Pusat
59,B01638P,Jln. Taman Jatibaru Timur,-6.182778,106.8129,Jakarta Pusat
60,B01751P,Jembatan Kota Intan,-6.132329,106.81055,Jakarta Barat
61,B01667P,Jln. Tebet Barat Dalam VIII,-6.241241,106.84754,Jakarta Selatan
62,B00435P,Gg. Damai I Rorotan,-6.150802,106.95604,Jakarta Utara
63,B06269P,Jln. Tebet Barat Raya,-6.233919,106.85064,Jakarta Selatan
64,B00607P,Gelanggang Remaja Grogol Petamburan,-6.178373,106.78094,Jakarta Barat
65,P00183,Polda Metro Jaya,-6.221094,106.81028,Jakarta Selatan
66,B05122P,Simpang Raya Tengah H. Ali,-6.292515,106.85951,Jakarta Timur
67,P00092,Jembatan Merah,-6.146731,106.83427,Jakarta Pusat
68,B05852P,Versailles,-6.308405,106.67367,
69,P00294,Sawah Besar Arah Selatan,-6.157368,106.818661,Jakarta Barat
70,B00856P,Jln. Anggrek Srengseng,-6.19818,106.75616,Jakarta Barat
71,B06045P,Galeri Niaga Mediterania 2,-6.116486,106.77142,Jakarta Utara
72,B00027P,Al Izhar Pondok Labu 2,-6.311504,106.79104,Jakarta Selatan
73,P00053,Duren Tiga,-6.252377,106.82697,Jakarta Selatan
74,B06048P,Food Street,-6.092201,106.74388,
75,P00197,Puri Beta 1,-6.230596,106.72602,
76,B01507P,Jln. Pluit Mas Selatan 1,-6.135231,106.792691,Jakarta Utara
77,B01184P,Jln. Kaimun Jaya,-6.292537,106.78705,Jakarta Selatan
78,B00030P,Al Mukhlisin,-6.128569,106.792084,Jakarta Utara
79,B02780P,Pertigaan Pagelarang 2,-6.303794,106.91755,Jakarta Timur
80,B01405P,Jln. Muara 1,-6.304063,106.85061,Jakarta Selatan
81,B06313P,Sbr. Gg. Marlina,-6.117521,106.80326,Jakarta Utara
